iter	Logloss
0	0.6204688979
1	0.5722192688
2	0.5439073039
3	0.5182710178
4	0.4973458458
5	0.4744572145
6	0.4556358819
7	0.4404472648
8	0.4331308471
9	0.427097884
10	0.4190063992
11	0.4135309184
12	0.4088316355
13	0.4030796458
14	0.3973631927
15	0.3968059352
16	0.3953821701
17	0.3910892295
18	0.3884283907
19	0.3843208904
20	0.3813093716
21	0.3791663333
22	0.3769942472
23	0.3743318963
24	0.3734032781
25	0.3695115457
26	0.3668466662
27	0.3640129873
28	0.3612302141
29	0.3594050692
30	0.3580866083
31	0.3550006031
32	0.3528618756
33	0.3481968747
34	0.3461200387
35	0.3459529285
36	0.3453925979
37	0.343809641
38	0.3417438665
39	0.3396956072
40	0.3383592072
41	0.3361507521
42	0.3344918819
43	0.332918329
44	0.3320638123
45	0.3307363199
46	0.3287664692
47	0.3266499497
48	0.3258731488
49	0.3253165166
50	0.3240612496
51	0.3230752696
52	0.3218903486
53	0.3200428837
54	0.3188867817
55	0.3180832903
