iter	Passed	Remaining
0	1	77
1	2	76
2	3	64
3	4	59
4	5	60
5	7	60
6	8	61
7	10	60
8	11	57
9	11	54
10	13	53
11	14	52
12	15	51
13	16	50
14	18	49
15	18	46
16	19	44
17	20	43
18	22	43
19	23	42
20	24	41
21	26	40
22	27	39
23	28	38
24	29	36
25	30	35
26	32	34
27	33	33
28	34	32
29	36	31
30	37	30
31	38	29
32	40	27
33	41	26
34	42	25
35	43	24
36	44	22
37	45	21
38	47	20
39	48	19
40	49	18
41	51	17
42	52	15
43	53	14
44	54	13
45	56	12
46	57	10
47	58	9
48	59	8
49	60	7
50	61	6
51	63	4
52	64	3
53	65	2
54	66	1
55	68	0
